"operon","genes"
"[[gene|yhjE]]→[[gene|sipV]]","[[gene|yhjE]]-[[gene|sipV]]"
"[[gene|cotB]]→[[gene|ywrJ]]","[[gene|cotB]]-[[gene|ywrJ]]"
"[[gene|cotI]]","[[gene|cotI]]"
"[[gene|yteP]]→[[gene|yteV]]","[[gene|yteP]]-[[gene|yteR]]-[[gene|yteS]]-[[gene|yteT]]-[[gene|yteU]]-[[gene|yteV]]"
"[[gene|sppA]]→[[gene|sppI]]","[[gene|sppA]]-[[gene|sppI]]"
"[[gene|yczH]]","[[gene|yczH]]"
"[[gene|yqeF]]","[[gene|yqeF]]"
"[[gene|ytcD]]","[[gene|ytcD]]"
"[[gene|pps]]","[[gene|pps]]"
"[[gene|ynaB]]→[[gene|ynaC]]","[[gene|ynaB]]-[[gene|ynaC]]"
"[[gene|yybP]]","[[gene|yybP]]"
"[[gene|yncB]]","[[gene|yncB]]"
"[[gene|yqjB]]->[[gene|yqjC]]","[[gene|yqjB]]-[[gene|yqjC]]"
"[[gene|ywbI]]→[[gene|thiE]]","[[gene|ywbI]]-[[gene|thiM]]-[[gene|thiE]]"
"[[gene|efeB]]→[[gene|ywbO]]","[[gene|efeB]]-[[gene|ywbO]]"
"[[gene|ycgI]]","[[gene|ycgI]]"
"[[gene|ctaK]]→[[gene|dps]]","[[gene|ctaK]]-[[gene|dps]]"
"[[gene|mrfA]]→[[gene|cotD]]","[[gene|mrfA]]-[[gene|mrfB]]-[[gene|cotD]]"
"[[gene|bsaA]]→[[gene|ypgR]]","[[gene|bsaA]]-[[gene|ypgQ]]-[[gene|ypgR]]"
"[[gene|yugI]]","[[gene|yugI]]"
"[[gene|ymaE]]→[[gene|ymzB]]","[[gene|ymaE]]-[[gene|ymzB]]"
"[[gene|yktD]]","[[gene|yktD]]"
"[[gene|putB]]→[[gene|putP]]","[[gene|putB]]-[[gene|putC]]-[[gene|putP]]"
"[[gene|rny]]→[[gene|ymdB]]","[[gene|rny]]-[[gene|ymdB]]"
"[[gene|ypjD]]→[[gene|birA]]","[[gene|ypjD]]-[[gene|dapB]]-[[gene|mgsA]]-[[gene|bshB1]]-[[gene|bshA]]-[[gene|cca]]-[[gene|birA]]"
"[[gene|cotF]]","[[gene|cotF]]"
"[[gene|yeeK]]","[[gene|yeeK]]"
"[[gene|sacB]]→[[gene|levB]]","[[gene|sacB]]-[[gene|levB]]"
"[[gene|ilvD]]","[[gene|ilvD]]"
"[[gene|med]]→[[gene|comZ]]","[[gene|med]]-[[gene|comZ]]"
"[[gene|yetL]]","[[gene|yetL]]"
"[[gene|yhdF]]","[[gene|yhdF]]"
"[[gene|roxS]]","[[gene|roxS]]"
"[[gene|yisR]]→[[gene|iolQ]]","[[gene|yisR]]-[[gene|iolQ]]"
"[[gene|yabG]]","[[gene|yabG]]"
"[[gene|ytzK]]→[[gene|tyrS]]","[[gene|ytzK]]-[[gene|tyrS]]"
"[[gene|yvfR]]→[[gene|yvfS]]","[[gene|yvfR]]-[[gene|yvfS]]"
"[[gene|proB]]→[[gene|proA]]","[[gene|proB]]-[[gene|proA]]"
"[[gene|yhcV]]","[[gene|yhcV]]"
"[[gene|yvgL]]→[[gene|yvgM]]","[[gene|yvgL]]-[[gene|yvgM]]"
"[[gene|pghB]]→[[gene|yjqC]]","[[gene|pghB]]-[[gene|yjqC]]"
"[[gene|pucR]]→[[gene|pucM]]","[[gene|pucR]]-[[gene|pucJ]]-[[gene|pucK]]-[[gene|pucL]]-[[gene|pucM]]"
"[[gene|tcyA]]→[[gene|tcyC]]","[[gene|tcyA]]-[[gene|tcyB]]-[[gene|tcyC]]"
"[[gene|htpG]]","[[gene|htpG]]"
"[[gene|yueD]]","[[gene|yueD]]"
"[[gene|cah]]","[[gene|cah]]"
"[[gene|ywzD]]","[[gene|ywzD]]"
"[[gene|ydiG]]→[[gene|tatCY]]","[[gene|ydiG]]-[[gene|rex]]-[[gene|tatAY]]-[[gene|tatCY]]"
"[[gene|mobA]]→[[gene|moaD]]","[[gene|mobA]]-[[gene|moeB]]-[[gene|moeA]]-[[gene|mobB]]-[[gene|moaE]]-[[gene|moaD]]"
"[[gene|yonU]]","[[gene|yonU]]"
"[[gene|yqgA]]","[[gene|yqgA]]"
"[[gene|ywdH]]","[[gene|ywdH]]"
"[[gene|azlB]]→[[gene|yrdK]]","[[gene|azlB]]-[[gene|azlC]]-[[gene|azlD]]-[[gene|brnQ]]-[[gene|yrdK]]"
"[[gene|ykvN]]","[[gene|ykvN]]"
"[[gene|spoIIAA]]→[[gene|sigF]]","[[gene|spoIIAA]]-[[gene|spoIIAB]]-[[gene|sigF]]"
"[[gene|senS]]","[[gene|senS]]"
"[[gene|yqjP]]→[[gene|yqjT]]","[[gene|yqjP]]-[[gene|yqjQ]]-[[gene|dsdA]]-[[gene|coaA]]-[[gene|yqjT]]"
"[[gene|yrrD]]→[[gene|yrzQ]]","[[gene|yrrD]]-[[gene|yrzR]]-[[gene|yrzQ]]"
"[[gene|ylbB]]→[[gene|ylbC]]","[[gene|ylbB]]-[[gene|ylbC]]"
"[[gene|ycnC]]→[[gene|ycnB]]","[[gene|ycnC]]-[[gene|ycnB]]"
"[[gene|yrbC]]","[[gene|yrbC]]"
"[[gene|yyaK]]","[[gene|yyaK]]"
"[[gene|zwf]]","[[gene|zwf]]"
"[[gene|yocC]]→[[gene|yocD]]","[[gene|yocC]]-[[gene|yocD]]"
"[[gene|yqgY]]","[[gene|yqgY]]"
"[[gene|fbaA]]","[[gene|fbaA]]"
"[[gene|ypqA]]","[[gene|ypqA]]"
"[[gene|rpsNB]]","[[gene|rpsNB]]"
"[[gene|ricF]]→[[gene|ylbI]]","[[gene|ricF]]-[[gene|ylbG]]-[[gene|ylbH]]-[[gene|ylbI]]"
"[[gene|tagO]]","[[gene|tagO]]"
"[[gene|greA]]","[[gene|greA]]"
"[[gene|defB]]","[[gene|defB]]"
"[[gene|lplD]]->[[gene|yetF]]","[[gene|lplD]]-[[gene|yetF]]"
"[[gene|moaB]]","[[gene|moaB]]"
"[[gene|yqaF]]→[[gene|yqaN]]","[[gene|yqaF]]-[[gene|yqdA]]-[[gene|yqaG]]-[[gene|yqaH]]-[[gene|yqaI]]-[[gene|yqaJ]]-[[gene|yqaK]]-[[gene|yqaL]]-[[gene|yqaM]]-[[gene|yqzO]]-[[gene|yqaN]]"
"[[gene|rplM]]->[[gene|rpsI]]","[[gene|rplM]]-[[gene|rpsI]]"
"[[gene|yaaJ]]→[[gene|scr]]","[[gene|yaaJ]]-[[gene|scr]]"
"[[gene|yqiG]]","[[gene|yqiG]]"
"[[gene|yvzB]]","[[gene|yvzB]]"
"[[gene|upp]]","[[gene|upp]]"
"[[gene|tatAC]]","[[gene|tatAC]]"
"[[gene|pdaC]]","[[gene|pdaC]]"
"[[gene|mtlR]]","[[gene|mtlR]]"
"[[gene|yugS]]","[[gene|yugS]]"
"[[gene|yfnI]]","[[gene|yfnI]]"
"[[gene|yxjJ]]→[[gene|yxjI]]","[[gene|yxjJ]]-[[gene|yxjI]]"
"[[gene|pabB]]→[[gene|lysS]]","[[gene|pabB]]-[[gene|pabA]]-[[gene|pabC]]-[[gene|sul]]-[[gene|folB]]-[[gene|folK]]-[[gene|yazB]]-[[gene|yacF]]-[[gene|lysS]]"
"[[gene|thiT]]","[[gene|thiT]]"
"[[gene|yxnA]]","[[gene|yxnA]]"
"[[gene|ydaD]]→[[gene|ydaE]]","[[gene|ydaD]]-[[gene|ydaE]]"
"[[gene|yugT]]","[[gene|yugT]]"
"[[gene|araA]]→[[gene|abfA]]","[[gene|araA]]-[[gene|araB]]-[[gene|araD]]-[[gene|araL]]-[[gene|araM]]-[[gene|araN]]-[[gene|araP]]-[[gene|araQ]]-[[gene|abfA]]"
"[[gene|yfhI]]","[[gene|yfhI]]"
"[[gene|ycnK]]→[[gene|ycnI]]","[[gene|ycnK]]-[[gene|ycnJ]]-[[gene|ycnI]]"
"[[gene|ytcA]]→[[gene|ytcC]]","[[gene|ytcA]]-[[gene|ytcB]]-[[gene|ytcC]]"
"[[gene|yhcJ]]","[[gene|yhcJ]]"
"[[gene|spo0M]]","[[gene|spo0M]]"
"[[gene|yqeW]]","[[gene|yqeW]]"
"[[gene|ycdA]]","[[gene|ycdA]]"
"[[gene|yugP]]","[[gene|yugP]]"
"[[gene|murC]]","[[gene|murC]]"
"[[gene|bstC]]","[[gene|bstC]]"
"[[gene|hmp]]","[[gene|hmp]]"
"[[gene|yxiT]]","[[gene|yxiT]]"
"[[gene|sspB]]","[[gene|sspB]]"
"[[gene|yvdQ]]","[[gene|yvdQ]]"
"[[gene|spoIIIE]]→[[gene|ymfC]]","[[gene|spoIIIE]]-[[gene|ymfC]]"
"[[gene|pyrG]]","[[gene|pyrG]]"
"[[gene|fin]]","[[gene|fin]]"
"[[gene|ypzA]]","[[gene|ypzA]]"
"[[gene|arfM]]","[[gene|arfM]]"
"[[gene|yonT]]→[[gene|yonV]]","[[gene|yonT]]-[[gene|yoyJ]]-[[gene|yonU]]-[[gene|yonV]]"
"[[gene|yhcN]]","[[gene|yhcN]]"
"[[gene|ypgR]]","[[gene|ypgR]]"
"[[gene|bsrH]]->[[gene|ratA]]","[[gene|bsrH]]-[[gene|ratA]]"
"[[gene|galK]]→[[gene|galT]]","[[gene|galK]]-[[gene|galT]]"
"[[gene|yisP]]","[[gene|yisP]]"
"[[gene|dnaX]]→[[gene|bofA]]","[[gene|dnaX]]-[[gene|yaaK]]-[[gene|recR]]-[[gene|yaaL]]-[[gene|bofA]]"
"[[gene|ymcC]]","[[gene|ymcC]]"
"[[gene|lonA]]→[[gene|ysxC]]","[[gene|lonA]]-[[gene|ysxC]]"
"[[gene|sdhC]]→[[gene|sdhB]]","[[gene|sdhC]]-[[gene|sdhA]]-[[gene|sdhB]]"
"[[gene|yqfT]]","[[gene|yqfT]]"
"[[gene|xkdA]]","[[gene|xkdA]]"
"[[gene|gudB]]","[[gene|gudB]]"
"[[gene|rpmGC]]","[[gene|rpmGC]]"
"[[gene|lytS]]→[[gene|lytT]]","[[gene|lytS]]-[[gene|lytT]]"
"[[gene|ilvA]]→[[gene|ypmP]]","[[gene|ilvA]]-[[gene|ypmP]]"
"[[gene|yndG]]→[[gene|yndK]]","[[gene|yndG]]-[[gene|yndH]]-[[gene|yndJ]]-[[gene|yndK]]"
"[[gene|yezD]]→[[gene|yetK]]","[[gene|yezD]]-[[gene|yetJ]]-[[gene|yetK]]"
"[[gene|yozQ]]","[[gene|yozQ]]"
"[[gene|manR]]","[[gene|manR]]"
"[[gene|sigO]]→[[gene|rsoA]]","[[gene|sigO]]-[[gene|rsoA]]"
"[[gene|yopM]]→[[gene|mrpR]]","[[gene|yopM]]-[[gene|yopN]]-[[gene|yopO]]-[[gene|yopP]]-[[gene|yopQ]]-[[gene|mrpR]]"
"[[gene|yycC]]→[[gene|yycA]]","[[gene|yycC]]-[[gene|yycB]]-[[gene|yycA]]"
"[[gene|sinR]]","[[gene|sinR]]"
"[[gene|cydA]]→[[gene|cydD]]","[[gene|cydA]]-[[gene|cydB]]-[[gene|cydC]]-[[gene|cydD]]"
"[[gene|ydaP]]","[[gene|ydaP]]"
"[[gene|yolA]]→[[gene|yolB]]","[[gene|yolA]]-[[gene|yolB]]"
"[[gene|yyzE]]→[[gene|bglA]]","[[gene|yyzE]]-[[gene|bglA]]"
"[[gene|ydaJ]]→[[gene|ydaN]]","[[gene|ydaJ]]-[[gene|ydaK]]-[[gene|ydaL]]-[[gene|ydaM]]-[[gene|ydaN]]"
"[[gene|oxdD]]","[[gene|oxdD]]"
"[[gene|yqjL]]","[[gene|yqjL]]"
"[[gene|gspA]]","[[gene|gspA]]"
"[[gene|ycgE]]→[[gene|ycgG]]","[[gene|ycgE]]-[[gene|ycgF]]-[[gene|ycgG]]"
"[[gene|dnaA]]→[[gene|dnaN]]","[[gene|dnaA]]-[[gene|dnaN]]"
"[[gene|yoaI]]","[[gene|yoaI]]"
"[[gene|ywdF]]→[[gene|ung]]","[[gene|ywdF]]-[[gene|ung]]"
"[[gene|ycxA]]","[[gene|ycxA]]"
"[[gene|ycbR]]","[[gene|ycbR]]"
"[[gene|ytwI]]","[[gene|ytwI]]"
"[[gene|yezE]]","[[gene|yezE]]"
"[[gene|yheN]]","[[gene|yheN]]"
"[[gene|gerM]]","[[gene|gerM]]"
"[[gene|yfjT]]","[[gene|yfjT]]"
"[[gene|yuxJ]]","[[gene|yuxJ]]"
"[[gene|ygzA]]","[[gene|ygzA]]"
"[[gene|katX]]","[[gene|katX]]"
"[[gene|yyaL]]","[[gene|yyaL]]"
"[[gene|ywlA]]","[[gene|ywlA]]"
"[[gene|ywqB]]→[[gene|ywqA]]","[[gene|ywqB]]-[[gene|ywqA]]"
"[[gene|yeaA]]→[[gene|ydjO]]","[[gene|yeaA]]-[[gene|ydjP]]-[[gene|ydjO]]"
"[[gene|yjbL]]→[[gene|yjbO]]","[[gene|yjbL]]-[[gene|sasB]]-[[gene|nadF]]-[[gene|yjbO]]"
"[[gene|yueE]]","[[gene|yueE]]"
"[[gene|yyaC]]","[[gene|yyaC]]"
"[[gene|yczN]]→[[gene|yczM]]","[[gene|yczN]]-[[gene|yczM]]"
"[[gene|cysL]]","[[gene|cysL]]"
"[[gene|hmoB]]","[[gene|hmoB]]"
"[[gene|tlrB]]","[[gene|tlrB]]"
"[[gene|nifS]]→[[gene|nadR]]","[[gene|nifS]]-[[gene|nadR]]"
"[[gene|ygzB]]","[[gene|ygzB]]"
"[[gene|ypzD]]","[[gene|ypzD]]"
"[[gene|yobO]]","[[gene|yobO]]"
"[[gene|thiC]]","[[gene|thiC]]"
"[[gene|amyX]]","[[gene|amyX]]"
"[[gene|yrbD]]","[[gene|yrbD]]"
"[[gene|yxkF]]→[[gene|msmX]]","[[gene|yxkF]]-[[gene|msmX]]"
"[[gene|yqzG]]","[[gene|yqzG]]"
"[[gene|wapA]]→[[gene|wapI]]","[[gene|wapA]]-[[gene|wapI]]"
"[[gene|ykvR]]","[[gene|ykvR]]"
"[[gene|gerR]]","[[gene|gerR]]"
"[[gene|rpoE]]","[[gene|rpoE]]"
"[[gene|ymzD]]","[[gene|ymzD]]"
"[[gene|cheR]]→[[gene|aroH]]","[[gene|cheR]]-[[gene|aroF]]-[[gene|aroB]]-[[gene|aroH]]"
"[[gene|yisV]]","[[gene|yisV]]"
"[[gene|flgM]]→[[gene|flgL]]","[[gene|flgM]]-[[gene|flgN]]-[[gene|flgK]]-[[gene|flgL]]"
"[[gene|sunA]]→[[gene|bdbB]]","[[gene|sunA]]-[[gene|sunT]]-[[gene|bdbA]]-[[gene|sunS]]-[[gene|bdbB]]"
"[[gene|ahpA]]→[[gene|ahpT]]","[[gene|ahpA]]-[[gene|ahpT]]"
"[[gene|ywzA]]","[[gene|ywzA]]"
"[[gene|ywnF]]","[[gene|ywnF]]"
"[[gene|furA]]","[[gene|furA]]"
"[[gene|ykhA]]","[[gene|ykhA]]"
"[[gene|malR]]","[[gene|malR]]"
"[[gene|ureA]]→[[gene|ureC]]","[[gene|ureA]]-[[gene|ureB]]-[[gene|ureC]]"
"[[gene|spoVK]]","[[gene|spoVK]]"
"[[gene|ypuB]]→[[gene|ypuC/1]]","[[gene|ypuB]]-[[gene|ypuC/1]]"
"[[gene|yloB]]->[[gene|yloH]]","[[gene|yloB]]-[[gene|yloC]]-[[gene|remA]]-[[gene|gmk]]-[[gene|yloH]]"
"[[gene|folE]]→[[gene|mtrB]]","[[gene|folE]]-[[gene|mtrB]]"
"[[gene|yuiA]]→[[gene|yuiB]]","[[gene|yuiA]]-[[gene|yuiB]]"
"[[gene|pcp]]","[[gene|pcp]]"
"[[gene|xpaC]]→[[gene|yabC]]","[[gene|xpaC]]-[[gene|yaaN]]-[[gene|yaaO]]-[[gene|tmk]]-[[gene|darA]]-[[gene|yaaR]]-[[gene|holB]]-[[gene|ricT]]-[[gene|yabA]]-[[gene|trmN6]]-[[gene|yazA]]-[[gene|yabC]]"
"[[gene|odhA]]→[[gene|odhB]]","[[gene|odhA]]-[[gene|odhB]]"
"[[gene|liaI]]→[[gene|liaH]]","[[gene|liaI]]-[[gene|liaH]]"
"[[gene|dnaC]]","[[gene|dnaC]]"
"[[gene|ydeQ]]","[[gene|ydeQ]]"
"[[gene|yybE]]→[[gene|yybC]]","[[gene|yybE]]-[[gene|yybD]]-[[gene|yybC]]"
"[[gene|azoR1]]","[[gene|azoR1]]"
"[[gene|cspB]]","[[gene|cspB]]"
"[[gene|yitC]]→[[gene|yitD]]","[[gene|yitC]]-[[gene|yitD]]"
"[[gene|yocD]]","[[gene|yocD]]"
"[[gene|braB]]","[[gene|braB]]"
"[[gene|yhbH]]","[[gene|yhbH]]"
"[[gene|opuE]]","[[gene|opuE]]"
"[[gene|rplI]]","[[gene|rplI]]"
"[[gene|sspL]]","[[gene|sspL]]"
"[[gene|kinC]]→[[gene|ktrC]]","[[gene|kinC]]-[[gene|ykqA]]-[[gene|ktrC]]"
"[[gene|nrgA]]→[[gene|nrgB]]","[[gene|nrgA]]-[[gene|nrgB]]"
"[[gene|fabHA]]→[[gene|fabF]]","[[gene|fabHA]]-[[gene|fabF]]"
"[[gene|yybS]]→[[gene|rplI]]","[[gene|yybS]]-[[gene|gdpP]]-[[gene|rplI]]"
"[[gene|divIC]]→[[gene|yabR]]","[[gene|divIC]]-[[gene|yabR]]"
"[[gene|ywhH]]","[[gene|ywhH]]"
"[[gene|ykrK]]","[[gene|ykrK]]"
"[[gene|bglP]]→[[gene|yxiE]]","[[gene|bglP]]-[[gene|bglH]]-[[gene|yxiE]]"
"[[gene|yvyC]]->[[gene|hpf]]","[[gene|yvyC]]-[[gene|fliD]]-[[gene|fliS]]-[[gene|fliT]]-[[gene|smiA]]-[[gene|S1350]]-[[gene|hpf]]"
"[[gene|yfiU]]","[[gene|yfiU]]"
"[[gene|yqeD]]","[[gene|yqeD]]"
"[[gene|rapJ]]","[[gene|rapJ]]"
"[[gene|yfmR]]","[[gene|yfmR]]"
"[[gene|yjcS]]→[[gene|yjdA]]","[[gene|yjcS]]-[[gene|yjdA]]"
"[[gene|ydbP]]","[[gene|ydbP]]"
"[[gene|yxdL]]→[[gene|yxeA]]","[[gene|yxdL]]-[[gene|yxdM]]-[[gene|yxeA]]"
"[[gene|phoP]]→[[gene|phoR]]","[[gene|phoP]]-[[gene|phoR]]"
"[[gene|rsbRB]]","[[gene|rsbRB]]"
"[[gene|hepS]]→[[gene|ndk]]","[[gene|hepS]]-[[gene|menH]]-[[gene|hepT]]-[[gene|ndk]]"
"[[gene|yhfC]]","[[gene|yhfC]]"
"[[gene|pbpX]]","[[gene|pbpX]]"
"[[gene|bmr]]→[[gene|bmrR]]","[[gene|bmr]]-[[gene|bmrR]]"
"[[gene|yfiB]]→[[gene|yfiC]]","[[gene|yfiB]]-[[gene|yfiC]]"
"[[gene|ykoV]]→[[gene|ligD]]","[[gene|ykoV]]-[[gene|ligD]]"
"[[gene|ribC]]→[[gene|rpsO]]","[[gene|ribC]]-[[gene|rpsO]]"
"[[gene|nrdR]]","[[gene|nrdR]]"
"[[gene|ywmE]]","[[gene|ywmE]]"
"[[gene|ywiC]]","[[gene|ywiC]]"
"[[gene|epr]]","[[gene|epr]]"
"[[gene|ytpI]]","[[gene|ytpI]]"
"[[gene|gbsA]]→[[gene|gbsB]]","[[gene|gbsA]]-[[gene|gbsB]]"
"[[gene|ycxB]]","[[gene|ycxB]]"
"[[gene|yocH]]","[[gene|yocH]]"
"[[gene|yrzM]]→[[gene|yrkI]]","[[gene|yrzM]]-[[gene|yrkD]]-[[gene|yrkE]]-[[gene|yrkF]]-[[gene|yrkH]]-[[gene|yrkI]]"
"[[gene|sspD]]","[[gene|sspD]]"
"[[gene|ytfI]]→[[gene|gerW]]","[[gene|ytfI]]-[[gene|gerW]]"
"[[gene|sipU]]","[[gene|sipU]]"
"[[gene|yfiS]]→[[gene|yfiR]]","[[gene|yfiS]]-[[gene|yfiR]]"
"[[gene|nudF]]→[[gene|yqxK]]","[[gene|nudF]]-[[gene|yqxK]]"
"[[gene|pgi]]→[[gene|yugN]]","[[gene|pgi]]-[[gene|yugM]]-[[gene|yugN]]"
"[[gene|btr]]","[[gene|btr]]"
"[[gene|fadM]]→[[gene|fadE]]","[[gene|fadM]]-[[gene|fadN]]-[[gene|fadA]]-[[gene|fadE]]"
"[[gene|sspK]]","[[gene|sspK]]"
"[[gene|phrC]]","[[gene|phrC]]"
"[[gene|speE]]→[[gene|speB]]","[[gene|speE]]-[[gene|speB]]"
"[[gene|gsaB]]","[[gene|gsaB]]"
"[[gene|glnR]]","[[gene|glnR]]"
"[[gene|uvrB]]→[[gene|uvrA]]","[[gene|uvrB]]-[[gene|uvrA]]"
"[[gene|yutC]]","[[gene|yutC]]"
"[[gene|mcpB]]","[[gene|mcpB]]"
"[[gene|spoIIE]]->[[gene|ftsH]]","[[gene|spoIIE]]-[[gene|yabS]]-[[gene|yabT]]-[[gene|tilS]]-[[gene|hprT]]-[[gene|ftsH]]"
"[[gene|asnO]]","[[gene|asnO]]"
"[[gene|yqaB]]→[[gene|sigKC]]","[[gene|yqaB]]-[[gene|sigKC]]"
"[[gene|yndD]]→[[gene|yndF]]","[[gene|yndD]]-[[gene|yndE]]-[[gene|yndF]]"
"[[gene|rpsJ]]→[[gene|rplQ]]","[[gene|rpsJ]]-[[gene|rplC]]-[[gene|rplD]]-[[gene|rplW]]-[[gene|rplB]]-[[gene|rpsS]]-[[gene|rplV]]-[[gene|rpsC]]-[[gene|rplP]]-[[gene|rpmC]]-[[gene|rpsQ]]-[[gene|rplN]]-[[gene|rplX]]-[[gene|rplE]]-[[gene|rpsN]]-[[gene|rpsH]]-[[gene|rplF]]-[[gene|rplR]]-[[gene|rpsE]]-[[gene|rpmD]]-[[gene|rplO]]-[[gene|secY]]-[[gene|adk]]-[[gene|map]]-[[gene|ybzG]]-[[gene|infA]]-[[gene|rpmJ]]-[[gene|rpsM]]-[[gene|rpsK]]-[[gene|S56]]-[[gene|rpoA]]-[[gene|rplQ]]"
"[[gene|cdoA]]","[[gene|cdoA]]"
"[[gene|yhfR]]","[[gene|yhfR]]"
"[[gene|ydiL]]→[[gene|ydiK]]","[[gene|ydiL]]-[[gene|ydiK]]"
"[[gene|salA]]","[[gene|salA]]"
"[[gene|bstH]]","[[gene|bstH]]"
"[[gene|yvrP]]→[[gene|yvrN]]","[[gene|yvrP]]-[[gene|yvrO]]-[[gene|yvrN]]"
"[[gene|yojB]]","[[gene|yojB]]"
"[[gene|ywkD]]→[[gene|racA]]","[[gene|ywkD]]-[[gene|racA]]"
"[[gene|plsY]]→[[gene|pdhI]]","[[gene|plsY]]-[[gene|pdhI]]"
"[[gene|yfjN]]","[[gene|yfjN]]"
"[[gene|yezG]]","[[gene|yezG]]"
"[[gene|fur]]","[[gene|fur]]"
"[[gene|rny]]","[[gene|rny]]"
"[[gene|yobB]]","[[gene|yobB]]"
"[[gene|ytvI]]","[[gene|ytvI]]"
"[[gene|sspJ]]","[[gene|sspJ]]"
"[[gene|ykvU]]→[[gene|stoA]]","[[gene|ykvU]]-[[gene|stoA]]"
"[[gene|yjbE]]","[[gene|yjbE]]"
"[[gene|hisJ]]-[[gene|ytsP]]","[[gene|hisJ]]-[[gene|S1129]]-[[gene|S1130]]-[[gene|S1131]]-[[gene|S1132]]-[[gene|ytsP]]"
"[[gene|nahA]]→[[gene|yvcN]]","[[gene|nahA]]-[[gene|yvcJ]]-[[gene|glmR]]-[[gene|whiA]]-[[gene|crh]]-[[gene|yvcN]]"
"[[gene|yvkN]]","[[gene|yvkN]]"
"[[gene|cgeC]]→[[gene|cgeE]]","[[gene|cgeC]]-[[gene|cgeD]]-[[gene|cgeE]]"
"[[gene|nprB]]","[[gene|nprB]]"
"[[gene|ybdN]]","[[gene|ybdN]]"
"[[gene|phy]]","[[gene|phy]]"
"[[gene|sspI]]","[[gene|sspI]]"
"[[gene|spoIIIL]]","[[gene|spoIIIL]]"
"[[gene|yjgA]]","[[gene|yjgA]]"
"[[gene|yxkI]]","[[gene|yxkI]]"
"[[gene|yaaI]]->[[gene|yaaH]]","[[gene|yaaI]]-[[gene|yaaH]]"
"[[gene|yhdW]]→[[gene|fluC]]","[[gene|yhdW]]-[[gene|yhdV]]-[[gene|fluC]]"
"[[gene|ilvB]]→[[gene|leuD]]","[[gene|ilvB]]-[[gene|ilvH]]-[[gene|ilvC]]-[[gene|leuA]]-[[gene|leuB]]-[[gene|leuC]]-[[gene|leuD]]"
"[[gene|prfA]]","[[gene|prfA]]"
"[[gene|yobI]]","[[gene|yobI]]"
"[[gene|bsrB]]→[[gene|yocH]]","[[gene|bsrB]]-[[gene|recQ]]-[[gene|yocH]]"
"[[gene|spoIIQ]]","[[gene|spoIIQ]]"
"[[gene|yhaI]]","[[gene|yhaI]]"
"[[gene|yheF]]→[[gene|yheG]]","[[gene|yheF]]-[[gene|yheG]]"
"[[gene|mecA]]","[[gene|mecA]]"
"[[gene|yufK]]","[[gene|yufK]]"
"[[gene|fabI]]","[[gene|fabI]]"
"[[gene|sndC]]","[[gene|sndC]]"
"[[gene|csbX]]→[[gene|bofC]]","[[gene|csbX]]-[[gene|bofC]]"
"[[gene|tmrB]]","[[gene|tmrB]]"
"[[gene|ydgJ]]→[[gene|ydgI]]","[[gene|ydgJ]]-[[gene|ydgI]]"
"[[gene|ybfO]]","[[gene|ybfO]]"
"[[gene|ycbU]]","[[gene|ycbU]]"
"[[gene|spoVID]]→[[gene|ysxE]]","[[gene|spoVID]]-[[gene|ysxE]]"
"[[gene|nprE]]","[[gene|nprE]]"
"[[gene|yqgT]]→[[gene|yqgV]]","[[gene|yqgT]]-[[gene|yqgU]]-[[gene|yqgV]]"
"[[gene|yjfB]]","[[gene|yjfB]]"
"[[gene|patA]]","[[gene|patA]]"
"[[gene|lrpA]]","[[gene|lrpA]]"
"[[gene|rapE]]→[[gene|phrE]]","[[gene|rapE]]-[[gene|phrE]]"
"[[gene|menA]]","[[gene|menA]]"
"[[gene|fbpC]]","[[gene|fbpC]]"
"[[gene|hfq]]","[[gene|hfq]]"
"[[gene|yjdB]]","[[gene|yjdB]]"
"[[gene|pepT]]","[[gene|pepT]]"
"[[gene|yvgO]]","[[gene|yvgO]]"
"[[gene|slrR]]->[[gene|pnbA]]","[[gene|slrR]]-[[gene|pnbA]]"
"[[gene|murAB]]→[[gene|glpX]]","[[gene|murAB]]-[[gene|glpX]]"
"[[gene|yrhH]]→[[gene|yrhJ]]","[[gene|yrhH]]-[[gene|fatR]]-[[gene|yrhJ]]"
"[[gene|pucI]]","[[gene|pucI]]"
"[[gene|thiU]]→[[gene|thiX]]","[[gene|thiU]]-[[gene|thiV]]-[[gene|thiW]]-[[gene|thiX]]"
"[[gene|cotSA]]→[[gene|ytxO]]","[[gene|cotSA]]-[[gene|cotS]]-[[gene|ytxO]]"
"[[gene|spoIIIAG]]→[[gene|spoIIIAH]]","[[gene|spoIIIAG]]-[[gene|spoIIIAH]]"
"[[gene|ytkK]]→[[gene|ytkL]]","[[gene|ytkK]]-[[gene|ytkL]]"
"[[gene|cmpA]]","[[gene|cmpA]]"
"[[gene|yhjD]]","[[gene|yhjD]]"
"[[gene|yuiF]]","[[gene|yuiF]]"
"[[gene|spoIVFA]]→[[gene|rpmA]]","[[gene|spoIVFA]]-[[gene|spoIVFB]]-[[gene|rplU]]-[[gene|prp]]-[[gene|rpmA]]"
"[[gene|nusB]]→[[gene|folD]]","[[gene|nusB]]-[[gene|folD]]"
"[[gene|tlpA]]→[[gene|mcpA]]","[[gene|tlpA]]-[[gene|mcpA]]"
"[[gene|ahpC]]→[[gene|ahpF]]","[[gene|ahpC]]-[[gene|ahpF]]"
